Artist,Title,Date Added
Anderson .Paak,Ventura,31/07/2020
Loyle Carner,Yesterday's Gone,31/07/2020
Loyle Carner,"Not Waving, But Drowning",31/07/2020
Black Pumas,Black Pumas,31/07/2020
Parcels,Live Vol.1,31/07/2020
Tom Misch,Beat Tape 2,15/08/2020
Tom Misch,Reverie EP,29/08/2020
Tom Misch,Geography,31/07/2020
Tom Misch & Yussef Dayes,What Kinda Music,31/07/2020
Skepta,Ignorance Is Bliss,29/08/2020
Miles Davis,Birth Of The Cool,31/07/2020
Leon Bridges,Good Thing,31/07/2020
Phoebe Bridgers,Punisher,19/12/2020
Khruangbin & Leon Bridges,Texas Sun,07/10/2020
The Dave Brubeck Quartet,Time Out,31/07/2020
Charles Bradley Featuring The Sounds Of Menahan Street Band,No Time For Dreaming,25/09/2020
The Jimi Hendrix Experience,Are You Experienced,24/10/2020
Jorja Smith,Lost & Found,07/08/2020
Queen Latifah,Nature Of A Sista',24/10/2020
BANKS (7),The Altar,31/07/2020
Amy Winehouse,Frank,31/07/2020
Bon Iver,"i,i",31/07/2020
"Grover Washington, Jr.",Mister Magic,07/08/2020
John Mayer,Where The Light Is: John Mayer Live In Los Angeles,01/09/2020
Anderson .Paak,Malibu,31/07/2020
Michael Kiwanuka,Kiwanuka,31/07/2020
Fleetwood Mac,Rumours,31/07/2020
The Weeknd,"My Dear Melancholy,",29/08/2020
Hozier,"Wasteland, Baby!",31/07/2020
John Mayer,Battle Studies,31/07/2020
Kendrick Lamar,To Pimp A Butterfly,31/07/2020
Foals,Everything Not Saved Will Be Lost: Part 1,07/09/2020
Foals,Everything Not Saved Will Be Lost: Part 2,23/10/2020
Buena Vista Social Club,Buena Vista Social Club,20/11/2020
Jungle (12),For Ever,20/11/2020
Kaytranada,99.9%,24/10/2020
Radiohead,A Moon Shaped Pool,20/09/2020
